"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mike Boone","DEN","8.4","46.5","0.3","3.9","27.7","0.1","0.1","10.0"
"Duke Johnson Jr.","BUF","18.0","73.0","0.0","4.0","33.0","-0.1","0.0","10.0"
"Justice Hill","BAL","10.3","44.2","0.4","2.6","18.2","0.1","0.0","9.2"
"Alec Ingold","MIA","4.3","14.9","0.1","6.5","48.1","0.3","0.0","9.1"
"Jake Funk","LAR","6.9","41.2","0.3","3.0","21.5","0.1","0.1","8.9"
"JaMycal Hasty","JAC","5.9","24.6","0.2","4.2","30.1","0.2","0.1","7.6"
"Michael Burton","KC","5.8","23.7","0.3","3.5","25.2","0.2","0.0","7.5"
"Patrick Ricard","BAL","2.6","7.9","0.1","6.4","43.9","0.3","0.0","7.5"
"Andrew Beck","DEN","4.7","18.8","0.2","4.4","33.0","0.2","0.0","7.2"
"Jakob Johnson","LV","4.0","16.5","0.2","4.4","32.6","0.3","0.1","7.2"
"Giovanni Ricci","CAR","4.5","18.2","0.1","4.0","31.2","0.2","0.0","6.8"
"Julius Chestnut","TEN","4.5","18.8","0.1","3.8","28.0","0.2","0.0","6.3"
"Derek Watt","PIT","2.2","8.7","0.1","4.4","32.5","0.2","0.0","5.6"
"Jason Cabinda","DET","3.0","12.5","0.1","3.6","26.6","0.2","0.0","5.6"
"Khari Blasingame","CHI","2.4","9.8","0.1","3.8","29.2","0.2","0.0","5.5"
"Salvon Ahmed","MIA","7.6","31.8","0.2","1.0","7.7","0.0","0.0","5.4"
"Trevon Wesco","CHI","0.0","0.0","0.0","3.5","36.5","0.3","0.0","5.2"
"Adam Prentice","NO","4.4","18.7","0.1","2.0","14.7","0.1","0.0","5.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","32.5","0.2","0.0","4.6"
"Brittain Brown","LV","3.8","15.6","0.1","2.1","15.4","0.1","0.0","4.4"
"Tory Carter","TEN","0.0","0.0","0.0","3.9","28.4","0.2","0.0","3.9"
"Mekhi Sargent","JAC","2.2","8.9","0.1","2.1","15.9","0.1","0.0","3.5"
"Zander Horvath","LAC","4.4","18.4","0.2","0.0","0.0","0.0","0.0","2.7"
"Malcolm Brown","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Spencer Brown","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jason Huntley","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taiwan Jones","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Larry Rountree III","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Lovett","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
