"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Antoine Wesley","ARI","11.1","137.4","0.9","0.0","0.0","0.0","0.0","19.1"
"Ray-Ray McCloud","SF","12.3","141.6","0.8","0.0","0.0","0.0","0.0","18.9"
"Quintez Cephus","DET","9.8","134.7","0.8","0.0","0.0","0.0","0.0","18.4"
"Richie James Jr.","NYG","8.7","138.4","0.7","0.0","0.0","0.0","0.0","18.2"
"Erik Ezukanma","MIA","9.7","132.6","0.8","0.0","0.0","0.0","0.0","18.1"
"Tyrie Cleveland","DEN","10.3","125.6","0.9","0.0","0.0","0.0","0.1","18.0"
"Demetric Felton Jr.","CLE","10.3","109.1","0.6","4.4","24.5","0.1","0.1","17.7"
"Cam Sims","WAS","9.5","131.2","0.8","0.0","0.0","0.0","0.0","17.6"
"Dareke Young","SEA","11.1","132.6","0.7","0.0","0.0","0.0","0.0","17.6"
"Tylan Wallace","BAL","9.9","129.0","0.8","0.0","0.0","0.0","0.0","17.5"
"Simi Fehoko","DAL","9.7","120.2","0.8","0.0","0.0","0.0","0.1","16.9"
"Ashton Dulin","IND","8.9","117.3","0.7","1.1","7.2","0.0","0.1","16.9"
"Khalil Shakir","BUF","9.4","114.0","0.8","0.7","4.0","0.0","0.0","16.6"
"Kristian Wilkerson","NE","10.2","117.2","0.8","0.0","0.0","0.0","0.0","16.3"
"Jalen Nailor","MIN","9.7","114.4","0.8","0.0","0.0","0.0","0.0","16.2"
"KhaDarel Hodge","ATL","8.1","113.0","0.6","0.0","0.0","0.0","0.0","14.9"
"Breshad Perriman","TB","7.0","102.2","0.7","0.0","0.0","0.0","0.0","14.5"
"Tyquan Thornton","NE","8.8","102.1","0.7","0.0","0.0","0.0","0.1","14.1"
"Ihmir Smith-Marsette","CHI","8.3","115.1","0.4","0.0","0.0","0.0","0.0","14.1"
"Darius Slayton","NYG","8.9","114.2","0.5","0.0","0.0","0.0","0.0","14.1"
"Danny Gray","SF","8.7","107.3","0.6","0.0","0.0","0.0","0.0","14.0"
"Shi Smith","CAR","8.5","107.1","0.5","0.0","0.0","0.0","0.1","13.8"
"Penny Hart","SEA","9.6","103.9","0.6","0.0","0.0","0.0","0.0","13.7"
"Juwan Johnson","NO","9.7","95.6","0.7","0.0","0.0","0.0","0.0","13.6"
"Jason Moore Jr.","LAC","7.7","95.2","0.7","0.0","0.0","0.0","0.0","13.4"
"Bo Melton","SEA","8.1","100.8","0.5","0.0","0.0","0.0","0.0","12.8"
"Seth Williams","JAC","7.4","88.0","0.6","0.0","0.0","0.0","0.0","12.5"
"Samori Toure","GB","6.8","80.9","0.7","0.0","0.0","0.0","0.0","12.4"
"Scotty Miller","TB","6.9","86.4","0.6","0.0","0.0","0.0","0.0","12.3"
"Tim Jones","JAC","7.5","91.6","0.5","0.0","0.0","0.0","0.0","12.3"
"KaVontae Turpin","DAL","4.4","57.1","0.4","4.4","26.6","0.2","0.0","11.6"
"Mike Strachan","IND","6.7","79.0","0.5","0.0","0.0","0.0","0.0","11.1"
"Dezmon Patmon","IND","6.0","74.1","0.6","0.0","0.0","0.0","0.0","11.0"
"Mason Kinsey","TEN","6.4","77.1","0.5","0.0","0.0","0.0","0.0","10.8"
"Jeff Smith","NYJ","5.9","84.2","0.4","0.0","0.0","0.0","0.0","10.8"
"Trent Taylor","CIN","6.9","73.1","0.6","0.0","0.0","0.0","0.0","10.7"
"Denzel Mims","NYJ","6.1","83.2","0.4","0.0","0.0","0.0","0.0","10.7"
"Tre Nixon","NE","6.2","80.1","0.5","0.0","0.0","0.0","0.0","10.7"
"Kendall Hinton","DEN","5.4","77.4","0.5","0.0","0.0","0.0","0.0","10.6"
"Racey McMath","TEN","6.4","76.4","0.5","0.0","0.0","0.0","0.1","10.5"
"Justin Watson","KC","6.1","68.1","0.6","0.0","0.0","0.0","0.1","10.5"
"Tyron Johnson","LV","6.0","77.1","0.5","0.0","0.0","0.0","0.1","10.5"
